Designator,Mid X,Mid Y,Rotation,Layer
C1,91.99,-102.0,270.0,top
C2,99.2,-101.07,270.0,top
D1,99.625,-96.45,90.0,top
J1,95.02375,-109.52625,270.0,top
M1,93.847452,-121.9666,270.0,top
P1,109.73,-125.05,0.0,top
P2,125.23,-125.05,0.0,top
P3,140.73,-125.05,0.0,top
P4,156.23,-125.05,0.0,top
P5,110.83,-107.68,180.0,top
P6,126.33,-107.68,180.0,top
P7,141.83,-107.68,180.0,top
P8,157.33,-107.68,180.0,top
R1,102.05,-101.03,90.0,top
U1,95.3338,-101.17,180.0,top
