C1:1
C2:1
D1:1
F1:1
F2:1
F3:1
F4:1
F5:1
F6:1
F7:1
F8:1
G***:1
H1:1
H2:1
H3:1
H4:1
P1:1
P10:1
P2:1
P3:1
P4:1
P5:1
P6:1
P7:1
P8:1
P9:1
R1:1
U1:1
